id	title	answers	questionAnswer	zuozhe
177	《孙子算经》中的“物不知数”： “今有一些物不知其数量。如果三个三个地去数它，则最后还剩二个;如果五个五个地去数它，则最后还剩三个;如果七个七个地去数它，则最后也剩二个。问：这些物至少有多少?”	15&&21&&23&&25	3	洛奇
178	流行性感冒的病原是	细菌&&病毒&&衣原体&&支原体	2	洛奇
179	艾滋病的医学全名是什么?	世纪杀手&&全身免疫系统紊乱症&&体液癌症&&获得性免疫缺陷综合症	4	洛奇
180	“江山社稷”中的“稷”在古代是指	黎民百姓&&土地之神&&五谷之神&&祈求丰收	3	洛奇
181	以下哪个成语是关于匡衡的	凿壁偷光&&卧薪尝胆&&映雪囊萤&&引锥自刺	1	洛奇
182	由唐代诗人贾岛和韩愈斟酌的诗句引申而来的词语	切磋&&推敲&&琢磨&&品味	2	洛奇
183	一般认为，北宋风俗画《清明上河图》描绘的是什么季节的景象	春天&&夏天&&秋天&&冬天	1	洛奇
184	《黄河大合唱》的作曲是	冼星海&&聂耳&&光未然&&郑律成	1	洛奇
185	京剧中的脸谱使人的性格一目了然,一般红色脸谱代表	耿直&&奸邪&&忠勇&&圆滑	3	洛奇
186	“相敬如宾”最初是指什么人之间相互尊敬的样子?	君臣&&朋友&&兄弟&&夫妻	4	洛奇
187	能够有效地阻挡太阳的紫外线辐射的气层是	大气上层&&臭氧层&&大气下层&&外大气层	2	洛奇
188	“打蛇打七寸”的七寸是指	咽喉&&心脏&&头部&&尾巴	2	洛奇
189	被国际上誉为“杂交水稻之父”的中国科学家是	.竺可桢&&袁隆平&&钱学森&&邓稼先	2	洛奇
190	下列关于操作系统的叙述中，正确的是	操作系统是软件和硬件之间的接口&&操作系统是源程序和目标程序之间的接口&&操作系统是用户和计算机之间的接口&&操作系统是外设和主机之间的接口	3	洛奇
191	下列存储器中，存储速度最快的是	软盘&&硬盘&&光盘&&内存	4	洛奇
192	北京故宫历时多少年建成?	11年&&12年&&14年&&18年	4	洛奇
193	陕西省乾陵武则天墓碑上共有几个字?	无一字;&&一个字&&两个字&&三个字	1	洛奇
194	体重最大的动物是?	抹香鲸&&鲨鱼&&蓝鲸&&白鲸	3	洛奇
195	我国被称为哪一类体育运动的体育王国?	羽毛球&&足球&&乒乓球&&排球	3	洛奇
196	清朝晚期,被今人誉为"开眼看世界第一人"的是谁?	魏源&&龚自珍&&林则徐&&严复	3	洛奇
197	我国第一个南极考察基地"长城站"什么时候落成?	1980&&1981&&1985&&1986	3	洛奇
198	色盲患者最普遍的不易分辨的颜色是什么?	红绿&&蓝绿&&红蓝&&绿蓝	1	洛奇
199	电度表上的一度电表示耗电量为	1百瓦/小时&&1千瓦/小时&&1瓦/小时&&10瓦/小时	2	洛奇
200	坐长途车要注意揉搓小腿、大腿这是为防止	晕车&&窒息&&心理压力增大&&脚浮肿	4	洛奇
201	五角大楼是美国哪个机构的代称?	中情局&&国防部&&信息工程部&&劳工部	2	洛奇
202	请问:火车连续发出两声长鸣,这表示	前进&&停留&&故障&&后退	4	洛奇
203	我国最早的一部医学理论著作是	《本草纲目》&&《黄帝内经》&&《千金方》&&《伤寒杂病论》	2	洛奇
204	我国植树节定在每年的3月12日,这也是为纪念哪位人物而定的?	屈原&&孙中山&&白求恩&&雷锋	2	洛奇
205	人们常说：“无事不登三宝殿”你知道“三宝”是指哪三宝?	纸、砚、笔&&书、剑、琴&&佛、法、僧&&金、银、玉	3	洛奇
206	世界上是被称为“教育王国”的哪一个国家?	中国&&美国&&以色列&&日本	3	洛奇
207	紫气东来是谁的故事？	孔子&&老子&&庄子&&孙子	2	洛奇
208	游戏里，多倍经验药水的掉落主要来自于哪里？	仙之天缘&&世界首领&&天机之争&&秘境遗迹	4	洛奇
209	游戏里，五彩石的获取主要来源于哪里？	门派试练&&门派首领&&试练挑战&&红尘传记	2	洛奇
210	游戏中，英雄最高多少星级？	5&&6&&7&&8	2	洛奇
211	游戏中，装备共鸣最高多少星级？	4&&5&&6&&7	3	洛奇
212	游戏中，下面那一项不是五行属性？	风&&火&&水&&冰	3	洛奇
